지역,가맹점명,분류,주소,Latitude,Longitude
경기,의정부 스포츠센터,체육시설,"경기도 의정부시 장곡로 101, 의정부스포츠센터",37.7133897,127.0514137
경기,의정부시설관리공단(빙상장),체육시설,경기도 의정부시 체육로136,37.7587486,127.0238213
경기,삼천리자전거 오산세교점,체육용품,경기도 오산시 문헌공로 71,37.178036,127.0566906
경기,삼천리자전거 원곡점,체육용품,경기도 안산시 단원구 원선로 53,37.3293705,126.7983736
경기,삼천리자전거 금광점,체육용품,경기도 성남시 중원구 산성대로 422-1,37.4494118,127.1593047
경기,삼천리자전거 백석점,체육용품,경기도 고양시 일산동구 강촌로 118 백송마을5단지 삼천리자전거 백석점,37.6507976,126.7869941
경기,삼천리자전거 일산백석점,체육용품,경기도 고양시 일산동구 중앙로 1123 흰돌마을2단지아파트 상가동 155호,37.6469381,126.7818475
경기,삼천리자전거 행신점,체육용품,경기도 고양시 덕양구 충장로 84 샘터마을2단지 삼천리자전거 행신점,37.6203225,126.8342636
경기,삼천리자전거 합정점,체육용품,경기도 평택시 중앙로 208,36.9908499,127.10588
경기,삼천리자전거 호매실점,체육용품,경기도 수원시 권선구 금호로 64-3,37.2700682,126.9587524
경기,삼천리자전거 동안양점,체육용품,경기도 안양시 동안구 관악대로 166 미륭아파트 상가동 삼천리자전거 동안양점,37.3983881,126.9430888
경기,하얀세상㈜,문화체험,경기도 용인시 처인구 한터로 18 한맥빌딩 1층,37.2542933,127.2138151
경기,천수포토,미술,경기도 고양시 덕양구 행신동 771 삼보상가1층10호,37.6159157,126.8378295
경기,삼천리자전거 여월점,체육용품,경기도 부천시 삼작로 304 노벨상가 1층 (여월동),37.5199971,126.7953016
경기,삼천리자전거 군포총판점,체육용품,경기도 군포시 군포로 488,37.3497768,126.9446862
경기,삼천리자전거 과천부림점,체육용품,경기도 과천시 별양로 184-1 8단지유치원상가 1층,37.4345742,126.9995038
경기,(주)삼천리유통,체육용품,경기도 김포시 하성면 하성로 374,37.7082117,126.6371614
경기,동원사진관,미술,경기도 가평군 가평읍 연인길 14 동원스튜디오,37.8283682,127.5126896
경기,엘로이피아노,음악,경기도 남양주시 화도읍 마석우리 298-10,37.6558607,127.3058847
경기,하안스튜디오,미술,경기도 광명시 하안4동 33-1 다래빌딩 204호,37.4631846,126.8794265
경기,지동주민자치센터,문화체험,경기도 수원시 팔달구 팔달문로115번길 5 지동주민센터,37.281856,127.028855
경기,원천동주민자치센터,문화체험,경기도 수원시 영통구 중부대로 339 원천동 주민센터,37.2735719,127.0531093
경기,구운동주민자치위원회,문화체험,경기도 수원시 권선구 구운로47번길 57-33 구운동주민센터,37.277098,126.97145
경기,서둔동주민자치센터,문화체험,경기도 수원시 권선구 서호로 146 서둔동주민센터,37.2725708,126.9860326
경기,입북동주민자치센터,문화체험,경기도 수원시 권선구 입북로 17 입북동주민센터,37.2932067,126.9595068
경기,매탄3동주민센터,문화체험,경기도 수원시 영통구 동탄원천로881번길 76 매탄3동주민센터,37.2563179,127.0431101
경기,사랑나누기 음악봉사단,공연,경기도 안성시 보개면 양협길 51,37.0139986,127.3187001
경기,분당판교청소년수련관,문화체험,경기도 성남시 분당구 운중로225번길 37,37.3918506,127.0908622
경기,마루공방,문화체험,"경기도 파주시 탄현면 헤이리마을길93-75, 헤이리예술마을 더스텝1층 120호",37.7888414,126.698722
경기,㈜대명레저산업 엠블호텔 킨텍스,숙박,경기도 고양시 일산동구 태극로 20(장항동),37.6569117,126.7699302
경기,(주)예체능,체육시설,"경기도 광명시 하안로288번길 15 지하3,4층 조일프라자빌딩",37.4622082,126.8813299
경기,광주볼링장,체육시설,경기도 광주시 오포읍 양벌리 337-1 외5필지,37.3784366,127.261528
경기,볼링샵,체육시설,경기도 광주시 파발로 87 1층 102호,37.4130675,127.2565115
경기,닥터(Dr.)마린키즈 수영장,체육시설,경기도 구리시 건원대로76번길 34 상가동 B15,37.6065144,127.1405829
경기,수택탁구클럽,체육시설,경기도 구리시 이문안로 51 한성아파트 상가동 지층,37.5925631,127.1369578
경기,산본탁구클럽,체육시설,경기도 군포시 고산로 679 미성프라자 지하1층,37.3710857,126.9339515
경기,아라뱃길승마클럽,체육시설,경기도 김포시 고촌읍 금포로 313 .,37.6219948,126.7586465
경기,발리마린키즈,체육시설,경기도 김포시 태장로 800 901호,37.6379309,126.6825156
경기,평내나이스볼링센터,체육시설,경기도 남양주시 경춘로1256번길 10 7층,37.6454702,127.2347128
경기,별내탁구클럽,체육시설,경기도 남양주시 별내중앙로 34 로뎀타워 501호,37.6461836,127.1255146
경기,청학승마클럽,체육시설,경기도 남양주시 진접읍 내각리 621-1,37.7033274,127.1542395
경기,오월볼링센타,체육시설,경기도 남양주시 화도읍 경춘로 1896-8 301호,37.6508246,127.2994584
경기,소요 볼링장,체육시설,경기도 동두천시 동두천로 222,37.9011848,127.0559434
경기,유진웨딩스튜디오,미술,경기도 군포시 산본1동 97-44,37.3730626,126.9422284
경기,통진서점,도서,경기도 김포시 통진읍 서암리722-1 통진서점,,
경기,리틀해피,도서,경기도 남양주시 별내5로23번길 18-22 101호 (별내동),37.6631312,127.1271035
경기,한양스튜디오,미술,경기도 남양주시 지금동136-1,37.6096614,127.1652638
경기,샘물서점,도서,경기도 성남시 분당구 내정로17번길 8 (정자동),37.3618642,127.1138266
경기,민호스튜디오,미술,경기도 수원시 영통구 영통동 961-6 영통트리플렉스 102호일부,37.2526859,127.0708582
경기,용문산둥지펜션,숙박,경기도 양평군 용문면 신점리369-8,37.5461191,127.5856295
경기,경기 양평 화전 정보화마을,관광지,경기도 양평군 용문면 화전로 295 화전2리마을회관,37.463082,127.6061205
경기,민트스튜디오,미술,경기도 시흥시 장현동 543-3 제이파크 107,37.380806,126.8019005
경기,(주)롯데렌터카 안산지점,교통수단,경기도 안산시 단원구 고잔동 528-1 프라움시티 111호,37.3203123,126.8331017
경기,한탄강관광지오토캠핑장,관광지,경기도 연천군 전곡읍 선사로 76,38.0147057,127.068102
경기,"(주)투나볼링(Toona bowling Co.,Ltd.",체육시설,경기도 부천시 부일로 223 11층 투나쇼핑센타 (부천시 원미구),37.4888345,126.7552782
경기,고강BK스포츠센터,체육시설,"경기도 부천시 오정구 고리울로51번길34 지하2층,지하3층 301호",37.5287115,126.8222406
경기,덕우볼링장,체육시설,경기도 부천시 오정구 삼정동 314,37.5160676,126.7703716
경기,텐텐볼링,체육시설,경기도 부천시 원미구 부흥로303번길36 201호,37.4963246,126.7762174
경기,리 탁구교실,체육시설,경기도 부천시 원미구 원미로126 303,37.493816,126.7914341
경기,주식회사 블루마린,체육시설,경기도 부천시 원미구 중동로168 지하08호,37.4941355,126.7681066
경기,키즈앤맘,관광지,경기도 성남시 분당구 내정로166번길 7-6,37.3729184,127.1205679
경기,아쿠아짐,체육시설,경기도 성남시 판교로 478 금강프라자,37.3985507,127.1068146
경기,성남AMF볼링장,체육시설,경기도 성남시 수정구 모란로 46,37.4372128,127.1269341
경기,수탁구,체육시설,경기도 성남시 수정구 복정로 92-1 지하층,37.4611916,127.1270137
경기,오션차일드,체육시설,경기도 성남시 수정구 위례광장로 21-12 지하층 101호,37.477447,126.980771
경기,신구스포츠센터(키즈엠),체육시설,경기도 성남시 중원구 성남대로 1000 센트럴타운 314동 802호,37.4298374,127.1291237
경기,서호스포츠센터(서호노인복지관),체육시설,경기도 수원시 권선구 구운로4번길 34,37.2785612,126.9757335
경기,세원볼링장,체육시설,경기도 수원시 권선구 금호로 28 395-2,37.2684575,126.9547067
경기,주식회사 아이풀 권선지점,체육시설,경기도 수원시 권선구 동수원로 218-39,37.2487104,127.0359572
